frequency,hashtag
34,Kota
34,Morocco
34,maskup
34,Twitter
34,WestBengal
34,LongCovid
34,Russian
34,usa
34,COVID19SA
34,FlattenTheCurve
34,stimulus
33,Syria
33,Patna
33,Beirut
33,CoverYourFace
33,2020worstyear
33,Government
33,CoronaOutbreak
33,Jodhpur
33,reported
33,workers
32,BackToSchool
32,IoT
32,Punjab
32,MiddleEast
32,Republican
32,WorldMaskWeek
32,sports
32,newnormal
32,COVID19Pandemic
32,ToryCorruption
32,Xinjiang
32,work
32,Sturgis
32,Tokyo
32,BBNaijia2020
32,youth
32,ThursdayMotivation
31,ClimateCrisis
31,fashion
31,LockdownSA
31,supplychain
31,state
31,Doctors
31,trade
31,FaceMask
31,lightning
31,today
31,Indonesia
31,reopening
31,Beijing
31,JoeBiden
31,BiharFightsCorona
31,Webinar
31,HumanRights
31,Modi
31,Belgium
31,anxiety
30,NBA
30,Ohio
30,bcpoli
30,protect
30,AmericasGreatestMistake
30,blm
30,bbnaija2020lockdown
30,should
30,BorisHasFailedUK
30,VoteBlueToEndThisNightmare
30,depression
30,Ireland
30,Zimbabwe
30,onpoli
30,workfromhome
30,COVID19UPDATE
30,Schools
30,uspoli
30,thriller
30,projectmanager
29,MAGA2020
29,PMP
29,after
29,VladimirPutin
29,Melbourne
29,books
29,because
29,being
29,Agile
29,PPM
29,FMTNews
29,security
29,Hydroxycholoroquine
29,Update
29,Rwanda
29,Cuttack
29,TrumpVirusCatastrophe
29,COVID19inSA
28,planning
28,ZimbabweanLivesMatter
28,startups
28,comedy
28,money
28,nyc
28,china
28,blockchain
28,australia
28,IPL2020
28,college
28,COVID-19
28,Dubai
28,women
28,would
28,motivation
28,SONA2020
28,onlineshopping
28,Chicago
28,virtual
28,ICMRFIGHTSCOVID19
28,nurses
28,LosAngeles
28,PublicHealth
27,florida
27,Unlock3
27,MedTwitter
27,telemedicine
27,HurricaneHanna
27,DYK
27,gold
27,Malaysia
27,GDP
27,NZ
27,Sturgis2020
27,COVIDUpdates
27,local
27,Libya
27,NCDC
27,offering
27,doctors
27,Finance
27,Mississippi
26,those
26,BigThreeConsulting
26,TrumpLiesAmericansDie
26,hoax
26,Global
26,secondwave
26,CCPVirus
26,vulnerable
26,AbuDhabi
26,CNN
26,design
26,isolation
26,hope
